id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_wifi_internet,amenities_tv,amenities_air_conditioning,amenities_heating,amenities_kitchen
5313,apartment,entire_home_apt,4,1.0,2.0,3.0,real_bed,1,1,1,1,1
5314,apartment,entire_home_apt,5,2.0,3.0,3.0,real_bed,1,1,0,1,1
5315,house,private_room,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5316,apartment,private_room,1,2.0,1.0,1.0,real_bed,1,1,0,1,1
5317,apartment,entire_home_apt,3,1.0,1.0,1.0,real_bed,1,1,1,1,1
5318,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,0
5319,apartment,private_room,2,1.5,1.0,1.0,real_bed,1,1,0,1,1
5320,apartment,entire_home_apt,6,2.0,4.0,4.0,real_bed,1,1,1,1,1
5321,apartment,entire_home_apt,4,1.0,1.0,4.0,real_bed,1,1,1,1,1
5322,loft,entire_home_apt,2,2.0,1.0,1.0,real_bed,1,1,1,1,1
5323,apartment,entire_home_apt,3,1.0,1.0,1.0,real_bed,1,1,1,1,1
5324,apartment,entire_home_apt,8,1.5,1.0,4.0,real_bed,1,1,1,1,1
5325,apartment,private_room,3,1.0,1.0,1.0,real_bed,0,0,0,0,1
5326,apartment,entire_home_apt,4,2.0,1.0,1.0,real_bed,1,1,1,1,1
5327,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,1,1,1
5328,bed_and_breakfast,private_room,2,1.0,1.0,1.0,real_bed,0,0,0,0,0
5329,apartment,entire_home_apt,3,1.0,2.0,2.0,real_bed,1,1,1,1,1
5330,serviced_apartment,hotel_room,5,2.0,2.0,2.0,real_bed,1,1,1,1,1
5331,apartment,entire_home_apt,6,1.0,2.0,3.0,real_bed,1,1,1,1,1
5332,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,1
5333,serviced_apartment,entire_home_apt,2,1.0,1.0,2.0,real_bed,1,1,1,1,1
5334,house,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,0
5335,apartment,entire_home_apt,4,1.5,2.0,4.0,real_bed,1,1,1,1,1
5336,apartment,entire_home_apt,2,1.0,2.0,2.0,real_bed,1,1,0,1,1
5337,loft,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5338,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5339,apartment,entire_home_apt,2,1.0,1.0,2.0,real_bed,1,1,1,1,1
5340,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5341,apartment,entire_home_apt,2,1.5,1.0,3.0,real_bed,1,1,1,1,1
5342,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,1,1,1
5343,apartment,private_room,2,1.5,1.0,1.0,real_bed,1,1,1,1,0
5344,apartment,entire_home_apt,4,2.0,2.0,3.0,real_bed,1,1,1,1,1
5345,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5347,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5348,apartment,private_room,2,1.0,1.0,2.0,real_bed,1,1,0,1,1
5349,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,1
5350,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5351,apartment,entire_home_apt,10,1.0,3.0,5.0,real_bed,1,1,0,0,1
5352,apartment,entire_home_apt,8,2.0,2.0,4.0,real_bed,1,1,1,1,1
5353,apartment,private_room,3,2.5,1.0,1.0,real_bed,1,1,0,1,1
5354,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,0,1,1
5355,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5356,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,1,1,1,1
5357,serviced_apartment,entire_home_apt,3,1.5,1.0,2.0,real_bed,1,1,1,1,1
5358,apartment,entire_home_apt,2,1.0,1.0,2.0,real_bed,1,1,1,1,1
5359,apartment,entire_home_apt,5,1.0,2.0,3.0,real_bed,1,1,1,1,1
5360,apartment,entire_home_apt,6,1.0,2.0,4.0,real_bed,1,0,1,1,1
5361,apartment,entire_home_apt,9,2.0,5.0,6.0,real_bed,1,1,1,1,1
5362,serviced_apartment,hotel_room,6,2.0,2.0,4.0,real_bed,1,1,1,1,1
5363,apartment,entire_home_apt,2,1.5,1.0,1.0,real_bed,1,1,1,1,1
5364,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5365,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5366,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5367,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5368,apartment,entire_home_apt,8,2.0,3.0,6.0,real_bed,1,1,1,1,1
5369,apartment,private_room,2,1.0,2.0,2.0,real_bed,1,1,0,1,1
5370,apartment,entire_home_apt,4,1.0,0.0,2.0,real_bed,1,1,1,1,0
5371,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,0,1,1,1
5373,apartment,private_room,1,1.5,1.0,1.0,real_bed,1,1,0,1,1
5374,house,private_room,1,1.5,1.0,1.0,real_bed,1,1,0,1,1
